,Methods,Freq
0,add,4742
1,compile,1456
2,shape,1330
3,fit,1326
4,reshape,1087
5,predict,875
6,array,799
7,layers,613
8,append,598
9,summary,583
10,sum,451
11,mean,419
12,run,365
13,zeros,359
14,get_weights,324
15,argmax,306
16,Session,295
17,expand_dims,292
18,Dense,285
19,save,261
20,astype,258
21,cast,246
22,constant,225
23,fit_generator,225
24,concatenate,209
25,rand,206
26,square,200
27,eval,185
28,ones,178
29,evaluate,177
30,format,176
31,variable,169
32,asarray,168
33,set_weights,164
34,load_weights,162
35,flow_from_directory,161
36,join,158
37,placeholder,155
38,to_categorical,154
39,__init__,146
40,randint,143
41,arange,142
42,plot,141
43,random,139
44,get,131
45,get_layer,128
46,get_session,128
47,floatx,125
48,equal,121
49,Sequential,119
50,seed,116
51,function,114
52,log,112
53,round,111
54,as_default,110
55,show,109
56,transpose,108
57,dot,107
58,fit_transform,105
59,max,101
60,load,100
61,split,100
