,Methods,Freq
0,plot,18624
1,show,16224
2,figure,7435
3,subplots,6693
4,arange,5727
5,linspace,5192
6,array,4879
7,add_subplot,4849
8,append,4492
9,scatter,4070
10,legend,3353
11,imshow,3081
12,sin,2765
13,gca,2695
14,savefig,2678
15,DataFrame,2545
16,bar,2494
17,rand,2491
18,max,2296
19,subplot,2164
20,draw,2123
21,colorbar,2039
22,set_ylim,2027
23,min,1956
24,set_ylabel,1941
25,set_xlim,1890
26,set_title,1859
27,format,1852
28,axis,1755
29,grid,1741
30,text,1691
31,shape,1678
32,random,1607
33,set_xlabel,1588
34,cos,1541
35,title,1489
36,xticks,1487
37,hist,1471
38,meshgrid,1386
39,randint,1344
40,xlabel,1344
41,ylabel,1333
42,set_visible,1276
43,reshape,1254
44,randn,1222
45,set_xticks,1211
46,set_xticklabels,1206
47,tight_layout,1196
48,set_major_formatter,1159
49,rcParams,1093
50,use,1060
51,groupby,1048
52,subplots_adjust,1045
53,zeros,981
54,close,930
55,xlim,917
56,normal,909
57,annotate,903
58,set_data,887
59,axes,876
60,astype,868
61,ylim,859
62,add_axes,855
63,spines,848
64,mean,843
65,tick_params,831
66,split,807
67,sqrt,804
68,add_patch,788
69,flatten,777
70,sum,768
71,set_major_locator,756
72,seed,736
73,gcf,730
74,set_color,721
75,set_yticks,708
76,exp,684
77,__init__,682
78,mpl_connect,681
79,ravel,675
80,contourf,674
81,FuncAnimation,671
82,read_csv,669
83,plot_surface,658
84,datetime,653
85,set,646
86,set_aspect,627
87,setp,625
88,twinx,572
89,pcolormesh,560
90,boxplot,554
91,pack,553
92,set_yticklabels,553
93,ones,547
94,contour,546
95,get_cmap,543
96,set_index,533
97,values,530
98,fill_between,524
99,unique,514
100,loc,511
101,get_xticklabels,508
102,set_position,507
103,to_datetime,504
104,join,495
105,ion,494
106,update,493
107,add_artist,491
108,keys,491
109,iloc,486
110,cumsum,481
111,yticks,466
112,get_xlim,458
113,imread,448
114,uniform,445
115,Series,436
116,diff,432
117,tolist,431
118,remove,427
119,DateFormatter,423
120,clf,418
121,asarray,416
122,set_facecolor,414
123,where,412
124,concatenate,401
125,get,398
126,addWidget,397
127,get_ylim,391
128,set_ydata,391
129,transform,391
130,connect,388
131,abs,379
132,clear,378
133,Normalize,375
134,reset_index,369
135,date_range,357
136,get_position,354
137,time,352
138,items,349
139,autofmt_xdate,348
140,pie,346
141,strftime,346
142,errorbar,340
143,loadtxt,338
144,pause,335
145,set_array,332
146,strptime,326
147,unstack,321
148,log,315
149,rc,315
150,choice,314
151,sort,303
152,dot,302
153,axvline,301
154,draw_idle,300
155,Rectangle,297
156,vstack,296
157,add_collection,295
158,barh,295
159,date,293
160,map,293
161,margins,293
162,histogram,290
163,GridSpec,286
164,save,285
165,set_zlabel,276
166,axhline,275
167,copy,274
168,Circle,273
169,apply,271
170,plot_date,271
171,set_minor_locator,270
172,autoscale,269
173,suptitle,264
174,mgrid,261
175,set_ticks,259
176,set_size_inches,254
177,pop,249
178,genfromtxt,246
179,set_ticks_position,245
180,cla,242
181,set_text,242
182,index,241
183,repeat,241
184,get_height,239
185,load_dataset,238
186,transpose,237
187,get_legend_handles_labels,236
188,heatmap,236
189,sleep,236
190,outer,231
191,replace,229
192,get_xaxis,228
193,value_counts,228
194,get_yticklabels,226
195,start,226
196,inverted,223
197,set_yscale,219
198,set_label,217
199,pcolor,213
200,set_alpha,212
201,set_xscale,210
202,fit,206
203,size,204
204,autoscale_view,202
205,get_width,197
206,quiver,195
207,get_tk_widget,193
208,mainloop,192
209,read,192
210,get_text,191
211,timedelta,191
212,c_,190
213,open,190
214,zeros_like,190
215,FuncFormatter,187
216,count,185
217,set_linewidth,184
218,ScalarMappable,183
219,get_window_extent,182
220,write,182
221,set_ticklabels,179
222,barplot,178
223,set_zlim,175
224,ListedColormap,174
225,set_xdata,173
226,get_x,172
227,get_yaxis,172
228,set_fontsize,172
229,get_children,171
230,get_color,171
231,polyfit,170
232,sort_values,170
233,strip,169
234,hold,168
235,Button,167
236,get_xticks,164
237,StringIO,163
238,from_list,158
239,distplot,157
240,exec_,157
241,pivot,157
242,exit,156
243,pdf,154
244,columns,153
245,to_rgba,153
246,Patch,152
247,color_palette,152
248,ones_like,152
249,extend,151
250,argsort,149
251,table,149
252,matshow,148
253,append_axes,146
254,fillna,146
255,std,146
256,empty,144
257,drawcoastlines,143
258,ix,142
259,on_changed,142
260,on_clicked,142
261,ceil,141
262,set_edgecolor,140
263,set_offsets,140
264,concat,138
265,get_lines,138
266,logspace,137
267,relim,137
268,PlateCarree,136
269,dropna,136
270,hstack,136
271,insert,136
272,radians,136
273,set_rotation,136
274,get_xdata,135
275,head,135
276,jet,135
277,invert_yaxis,133
278,round,133
279,interp,132
280,norm,132
281,masked_where,130
282,fill,129
283,get_ydata,129
284,set_axis_off,128
285,lines,126
286,twiny,126
287,get_label,125
288,get_yticks,125
289,Tk,123
290,pivot_table,123
291,Figure,122
292,add,122
293,reader,122
294,view_init,122
295,Add,121
296,clabel,121
297,isnan,121
298,set_zorder,120
299,stack,120
300,add_edge,119
301,add_line,119
302,set_minor_formatter,119
303,MultipleLocator,118
304,Polygon,118
305,iteritems,118
306,setLayout,118
307,set_tick_params,118
308,QApplication,117
309,all,117
310,power,116
311,FacetGrid,115
312,now,114
313,ioff,113
314,load,112
315,plot_wireframe,112
316,r_,112
317,get_paths,111
318,floor,107
319,collections,106
320,tile,106
321,iterrows,105
322,resample,105
323,draw_artist,104
324,arrow,103
325,get_figure,103
326,next,103
327,seek,103
328,xaxis_date,103
329,yscale,103
330,rename,100
