Methods,Freq
array,28715
arange,13816
reshape,11648
shape,11202
sum,8023
append,7744
zeros,7156
astype,5795
where,5586
DataFrame,4768
dot,4436
randint,4184
plot,3856
rand,3704
mean,3438
ravel,3310
ones,3202
linspace,3016
max,3003
show,3002
split,2942
all,2893
concatenate,2641
empty,2472
groupby,2414
tolist,2412
format,2289
asarray,2249
unique,2201
apply,2109
sqrt,2077
copy,2041
loc,2018
random,1966
einsum,1929
argsort,1917
cumsum,1876
min,1869
transpose,1763
any,1761
diff,1757
exp,1716
join,1709
abs,1598
repeat,1567
sin,1526
vstack,1523
view,1497
argmax,1448
imshow,1398
randn,1351
iloc,1310
choice,1301
Series,1292
isnan,1287
flatten,1251
allclose,1244
hstack,1229
nonzero,1227
sort,1191
genfromtxt,1187
searchsorted,1135
cos,1127
reset_index,1104
seed,1103
figure,1102
stack,1101
time,1088
read_csv,1080
log,1019
values,1016
loadtxt,1001
meshgrid,975
dtype,951
bincount,927
uniform,902
r_,859
replace,859
savetxt,845
matrix,816
write,779
concat,765
subplots,765
normal,759
set_index,756
index,752
tile,750
fillna,741
outer,727
column_stack,719
argmin,718
add,717
datetime,717
scatter,711
items,706
norm,685
zeros_like,678
imread,670
vectorize,662
timeit,658
ndarray,639
close,638
load,633
shift,632
get,630
flatnonzero,625
fit,624
map,624
take,619
strip,609
std,604
insert,598
swapaxes,595
keys,577
delete,562
isin,562
to_datetime,562
read,551
run,550
legend,526
diag,514
eye,494
roll,491
add_subplot,486
ix_,485
resize,469
open,468
squeeze,463
save,452
indices,451
prod,444
round,442
logical_and,439
dstack,436
product,436
shuffle,431
isnull,429
subplot,429
clip,427
count,424
power,418
size,417
multiply,415
argwhere,414
c_,408
pad,408
T,407
transform,405
merge,398
fromiter,391
drop,390
mgrid,387
assign,385
extend,377
xlabel,376
apply_along_axis,374
ix,374
full,369
head,367
ylabel,353
convolve,343
item,343
strides,343
tensordot,342
title,342
histogram,341
colorbar,340
dropna,337
hist,336
unstack,335
unravel_index,334
ogrid,333
count_nonzero,327
sort_values,323
median,322
reduce,319
set_title,319
agg,310
csr_matrix,298
at,297
average,296
fromarray,294
polyfit,293
reduceat,290
flat,288
sample,288
toarray,288
floor,287
fromstring,287
inv,287
isclose,287
empty_like,285
date_range,284
expand_dims,283
maximum,283
pop,282
splitlines,275
gca,274
lexsort,274
set_printoptions,274
as_strided,273
predict,268
square,268
accumulate,267
array_equal,266
fromfile,264
grid,264
data,263
fit_transform,262
interp,262
rename,261
matmul,260
sign,257
columns,254
ceil,251
query,250
ravel_multi_index,250
ascontiguousarray,249
permutation,249
reindex,249
frombuffer,248
rollaxis,247
savefig,244
reader,243
date,241
argpartition,238
diagonal,238
fill,238
bar,232
ones_like,232
notnull,231
axis,230
cvtColor,229
fft,228
startswith,224
tostring,222
value_counts,222
to_csv,221
contains,220
triu_indices,220
update,218
random_integers,217
strptime,217
from_iterable,214
Session,212
set_ylabel,209
eval,206
minimum,206
evaluate,205
iteritems,205
todense,204
solve,203
rolling,202
gradient,200
set_xlabel,199
broadcast_to,194
readlines,193
coo_matrix,190
lstsq,190
put,190
eq,187
equal,187
percentile,187
cov,184
as_matrix,183
dumps,181
frompyfunc,181
sub,181
identity,180
StringIO,178
mask,178
resample,178
File,176
digitize,176
ndenumerate,174
isfinite,172
pdf,172
boundscheck,171
readline,170
waitKey,170
cumprod,169
amax,168
dump,168
convert,167
constant,164
rvs,162
xlim,162
mul,161
remove,161
str,159
combinations,158
create_dataset,158
decode,158
placeholder,158
to_dict,158
masked_array,156
memmap,155
__getitem__,154
iterrows,154
nditer,153
nanmean,152
seek,152
set_ylim,152
plot_surface,150
contour,149
mod,149
select,148
subtract,148
get_dummies,146
imwrite,146
draw,145
drop_duplicates,145
triu,145
cross,144
glob,144
ndindex,144
timedelta,144
ylim,144
moveaxis,143
__array_interface__,142
pack,142
set_xlim,142
intersection,140
s_,140
ffill,139
indptr,139
logical_or,139
sort_index,139
clock,138
start,138
conj,137
next,137
Variable,135
logical_not,135
now,135
xticks,135
corrcoef,134
encode,134
strftime,133
RandomState,132
absolute,132
var,132
argv,131
execute,131
loads,130
pcolormesh,130
asanyarray,129
array_split,128
compile,127
idxmax,127
pivot,127
wraparound,127
pivot_table,126
unpack,126
eig,125
set,125
cut,124
filter,124
njit,124
broadcast_arrays,122
kron,122
around,121
radians,121
filled,119
find,119
det,118
text,118
tofile,118
contourf,116
correlate,116
fill_diagonal,115
Timer,114
lower,114
random_sample,114
tight_layout,114
div,112
writerow,111
cdf,110
choose,110
Timestamp,109
factorize,108
finfo,108
masked_where,108
nan_to_num,105
fliplr,104
quad,104
fftfreq,103
getsizeof,103
set_xticks,103
subs,103
cast,102
jit,102
read_table,100
writer,100
