,Methods,Freq
0,DataFrame,40093
1,groupby,33595
2,apply,25392
3,loc,24376
4,reset_index,15947
5,astype,13590
6,sum,12421
7,set_index,12111
8,iloc,11785
9,read_csv,10129
10,append,9876
11,concat,9728
12,split,9114
13,Series,8835
14,to_datetime,8431
15,join,7880
16,fillna,7807
17,tolist,7592
18,replace,7220
19,merge,6314
20,where,6158
21,mean,6025
22,plot,5825
23,map,5682
24,isin,5585
25,drop,5515
26,shift,5040
27,rename,4613
28,format,4591
29,arange,4563
30,sort_values,4489
31,unstack,4399
32,agg,4357
33,transform,4207
34,stack,4113
35,assign,3970
36,cumsum,3965
37,array,3846
38,max,3733
39,unique,3702
40,head,3690
41,randint,3473
42,isnull,3446
43,ix,3443
44,dropna,3437
45,date_range,3173
46,contains,3085
47,to_csv,3056
48,index,3021
49,values,2921
50,reindex,2905
51,value_counts,2870
52,show,2742
53,shape,2666
54,str,2658
55,drop_duplicates,2651
56,any,2649
57,columns,2545
58,items,2474
59,count,2469
60,diff,2423
61,resample,2278
62,min,2243
63,sort_index,2228
64,all,2224
65,copy,2217
66,randn,2215
67,strip,2199
68,eq,2120
69,pivot_table,2097
70,to_dict,2065
71,reshape,2023
72,notnull,1993
73,strftime,1984
74,iterrows,1949
75,get,1829
76,query,1800
77,size,1771
78,seed,1722
79,ffill,1696
80,choice,1676
81,get_level_values,1644
82,datetime,1598
83,to_frame,1532
84,rand,1528
85,cumcount,1511
86,filter,1487
87,get_dummies,1459
88,repeat,1455
89,rename_axis,1438
90,Timestamp,1433
91,StringIO,1427
92,extract,1410
93,pivot,1404
94,rolling,1377
95,duplicated,1362
96,keys,1348
97,sort,1340
98,melt,1336
99,subplots,1321
100,idxmax,1320
101,read_excel,1268
102,mask,1260
103,date,1252
104,applymap,1187
105,sub,1157
106,to_numeric,1151
107,add,1101
108,lower,1094
109,startswith,1041
110,to_excel,1029
111,time,1010
112,to_timedelta,973
113,abs,946
114,cut,946
115,div,945
116,Timedelta,942
117,ne,936
118,bar,922
119,update,920
120,ravel,902
121,strptime,900
122,len,891
123,from_dict,872
124,combine_first,864
125,mul,853
126,write,850
127,nunique,823
128,concatenate,815
129,from_product,800
130,zeros,795
131,legend,780
132,fit,779
133,first,778
134,close,772
135,crosstab,762
136,factorize,738
137,round,734
138,select,726
139,std,711
140,pop,710
141,from_tuples,704
142,random,702
143,to_series,702
144,isnan,697
145,read_table,696
146,figure,693
147,scatter,688
148,sample,683
149,findall,681
150,at,668
151,fit_transform,666
152,iat,652
153,xs,651
154,iteritems,645
155,add_prefix,632
156,tail,627
157,find,620
158,argsort,619
159,get_loc,617
160,read,613
161,dot,604
162,between,592
163,save,589
164,bfill,584
165,difference,581
166,itertuples,577
167,glob,574
168,Grouper,574
169,gt,550
170,DatetimeIndex,548
171,linspace,544
172,insert,544
173,nlargest,543
174,select_dtypes,532
175,argmax,524
176,transpose,504
177,droplevel,490
178,total_seconds,485
179,ExcelWriter,478
180,loads,469
181,hist,464
182,levels,462
183,rank,456
184,now,454
185,intersection,449
186,to_period,448
187,from_arrays,421
188,idxmin,421
189,match,418
190,corr,418
191,info,416
192,searchsorted,409
193,median,408
194,timedelta,405
195,set_option,398
196,swaplevel,397
197,eval,397
198,xticks,389
199,group,385
200,interpolate,378
201,endswith,378
202,describe,375
203,floor,367
204,to_sql,366
205,reader,365
206,Index,362
207,compile,362
208,isna,362
209,Categorical,349
210,from_iterable,347
211,read_json,331
212,set_ylabel,327
213,quantile,318
214,boxplot,315
215,asarray,313
216,from_records,311
217,load,307
218,last,305
219,lt,299
220,savefig,297
221,set_value,297
222,normal,292
223,read_sql,292
224,flatten,292
225,find_all,291
226,set_xticklabels,282
227,execute,282
228,DateOffset,282
229,connect,281
230,ones,273
231,TimeGrouper,271
232,as_matrix,271
233,to_json,270
234,pipe,270
235,add_suffix,269
236,gca,267
237,tile,258
238,sqrt,256
239,predict,253
240,extend,252
241,union,242
242,set_xlabel,242
243,parse,240
244,empty,237
245,set_title,235
246,read_clipboard,231
247,tight_layout,230
248,title,229
249,pct_change,228
250,cumprod,227
251,today,226
252,to_string,215
253,ge,215
254,listdir,204
255,add_subplot,182
256,get_group,177
257,HDFStore,170
258,bincount,169
259,convert_objects,167
260,uniform,165
261,to_hdf,156
262,rstrip,153
263,writerow,152
264,rolling_mean,151
265,reindex_axis,149
266,aggregate,147
267,log,147
268,cat,141
269,read_hdf,139
270,to_html,135
271,item,133
272,zfill,132
273,hstack,131
274,column_stack,130
275,mode,130
276,sortlevel,127
277,grid,125
278,decode,125
279,encode,124
280,sin,121
281,lookup,120
282,read_html,118
283,squeeze,117
284,DataReader,115
285,search,115
286,ylabel,115
287,Panel,114
288,r_,113
289,rsplit,113
290,from_csv,111
291,dumps,110
292,qcut,110
293,first_valid_index,107
294,set_major_formatter,107
295,xlabel,107
296,read_fwf,104
297,set,102
298,timeit,102
299,set_ylim,101
