,Methods,Freq
0,fit,3394
1,fit_transform,1695
2,predict,1559
3,array,1487
4,DataFrame,1053
5,transform,1028
6,reshape,934
7,append,878
8,shape,749
9,sum,547
10,mean,519
11,split,509
12,astype,469
13,format,437
14,arange,418
15,plot,401
16,toarray,393
17,iloc,389
18,ravel,369
19,show,365
20,scatter,342
21,predict_proba,331
22,read_csv,322
23,score,315
24,apply,306
25,loc,295
26,get_feature_names,292
27,dot,264
28,unique,241
29,join,239
30,zeros,230
31,max,227
32,get_dummies,223
33,tolist,206
34,drop,199
35,randn,197
36,load,192
37,asarray,190
38,SVC,189
39,rand,186
40,randint,186
41,seed,180
42,min,176
43,dump,174
44,concatenate,166
45,linspace,157
46,sqrt,156
47,where,156
48,figure,153
49,concat,151
50,fillna,148
51,argmax,147
52,load_iris,147
53,add,144
54,inverse_transform,143
55,Series,137
56,argsort,133
57,data,131
58,xlabel,130
59,random,129
60,ylabel,127
61,title,124
62,keys,123
63,groupby,119
64,values,119
65,exp,116
66,ones,116
67,todense,116
68,as_matrix,111
69,copy,111
70,named_steps,111
71,legend,110
72,std,110
73,flatten,109
74,hstack,109
75,coef_,107
76,columns,107
77,head,105
78,vstack,101
