,Methods,Freq
0,run,10563
1,Session,4340
2,placeholder,3336
3,Variable,3325
4,constant,2920
5,reshape,2884
6,add,2444
7,shape,2156
8,matmul,1602
9,global_variables_initializer,1590
10,eval,1583
11,array,1469
12,zeros,1309
13,append,1282
14,get_variable,1173
15,cast,1102
16,reduce_mean,1075
17,reduce_sum,962
18,random_normal,956
19,argmax,882
20,minimize,838
21,expand_dims,823
22,variable_scope,813
23,concat,792
24,as_default,789
25,format,748
26,assign,724
27,fit,713
28,equal,679
29,get_shape,673
30,Saver,669
31,ones,614
32,save,611
33,compile,610
34,Graph,607
35,restore,602
36,get_tensor_by_name,596
37,transpose,582
38,join,572
39,predict,571
40,range,552
41,batch,550
42,stack,533
43,astype,529
44,square,518
45,get_default_graph,514
46,read,500
47,get_next,489
48,initialize_all_variables,475
49,device,471
50,name_scope,466
51,relu,466
52,log,460
53,InteractiveSession,452
54,softmax,431
55,where,429
56,map,423
57,AdamOptimizer,418
58,split,400
59,GradientDescentOptimizer,397
60,random_uniform,380
61,gather,377
62,get_collection,377
63,tile,370
64,rand,369
65,squeeze,360
66,ConfigProto,352
67,close,345
68,dense,345
69,sum,337
70,from_tensor_slices,336
71,truncated_normal,334
72,reset_default_graph,333
73,gradients,328
74,arange,320
75,FixedLenFeature,314
76,convert_to_tensor,312
77,mean,310
78,repeat,310
79,multiply,308
80,write,305
81,make_one_shot_iterator,302
82,control_dependencies,296
83,randint,290
84,cond,286
85,shuffle,276
86,identity,268
87,softmax_cross_entropy_with_logits,268
88,import_meta_graph,265
89,sqrt,264
90,as_list,261
91,asarray,261
92,map_fn,261
93,start_queue_runners,261
94,trainable_variables,254
95,load,250
96,scalar,248
97,sigmoid,246
98,Dense,228
99,summary,228
100,slice,222
101,abs,220
102,get,219
103,add_summary,218
104,train,213
105,imshow,210
106,layers,210
107,FileWriter,206
108,gather_nd,201
109,one_hot,200
110,randn,199
111,dynamic_rnn,195
112,py_func,187
113,global_variables,184
114,time,181
115,concatenate,180
116,fully_connected,180
117,string_input_producer,180
118,as_graph_def,178
119,exp,178
120,Coordinator,177
121,Print,174
122,while_loop,171
123,latest_checkpoint,170
124,local_variables_initializer,170
125,random,170
126,show,169
127,evaluate,168
128,constant_initializer,167
129,environ,164
130,zeros_like,163
131,request_stop,161
132,less,157
133,size,154
134,BasicLSTMCell,152
135,group,151
136,subtract,151
137,import_graph_def,149
138,set_shape,149
139,dropout,148
140,imread,148
141,next_batch,147
142,plot,144
143,decode_jpeg,141
144,mul,141
145,reduce_max,141
146,make_initializable_iterator,140
147,get_weights,139
148,pack,136
149,apply_gradients,135
150,add_to_collection,133
151,pow,133
152,SerializeToString,132
153,read_data_sets,132
154,greater,131
155,normal,131
156,ones_like,130
157,Feature,129
158,embedding_lookup,129
159,ParseFromString,128
160,top_k,128
161,read_csv,126
162,flatten,125
163,__init__,124
164,apply,123
165,TFRecordDataset,120
166,read_file,120
167,GraphDef,118
168,round,118
169,TensorShape,117
170,get_session,117
171,maximum,117
172,boolean_mask,116
173,MultiRNNCell,115
174,Example,114
175,LSTMCell,114
176,max,114
177,numeric_column,114
178,open,114
179,zero_state,112
180,assign_add,111
181,compute_gradients,110
182,merge_all,109
183,uniform,108
184,unstack,108
185,shuffle_batch,107
186,values,107
187,clip_by_value,106
188,Estimator,105
189,SparseTensor,105
190,decode_csv,105
191,from_generator,104
192,items,104
193,parse_single_example,104
194,inputs,102
195,enable_eager_execution,101
196,reuse_variables,101
197,resize,100
198,seed,100
